"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014年14週(03月31日～04月06日)","2014年04月09日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","百日咳","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","30290","6.13","502","","876","0.28","4519","1.43","15990","5.07","3043","0.97","315","0.10","379","0.12","1568","0.50","29","0.01","89","0.03","740","0.23","11","0.02","322","0.47","13","0.03","6","0.01","92","0.19","5","0.01","123","0.26"
"北海道","1585","6.98","29","","44","0.31","325","2.27","301","2.10","156","1.09","7","0.05","-","-","41","0.29","3","0.02","1","0.01","16","0.11","-","-","14","0.50","1","0.05","-","-","-","-","-","-","9","0.41"
"青森県","786","12.28","6","","4","0.10","52","1.27","176","4.29","38","0.93","-","-","9","0.22","11","0.27","1","0.02","-","-","8","0.20","-","-","6","0.55","-","-","-","-","7","1.17","-","-","2","0.33"
"岩手県","785","12.27","4","","5","0.13","77","1.93","262","6.55","15","0.38","1","0.03","7","0.18","12","0.30","-","-","-","-","7","0.18","-","-","5","0.36","1","0.05","-","-","1","0.05","-","-","11","0.58"
"宮城県","788","8.47","10","","7","0.12","92","1.59","279","4.81","42","0.72","1","0.02","33","0.57","38","0.66","-","-","-","-","16","0.28","-","-","3","0.25","1","0.08","-","-","6","0.50","-","-","5","0.42"
"秋田県","508","9.24","3","","6","0.17","39","1.11","141","4.03","20","0.57","1","0.03","11","0.31","4","0.11","-","-","-","-","7","0.20","-","-","3","0.43","-","-","-","-","3","0.38","-","-","1","0.13"
"山形県","580","12.08","3","","10","0.33","104","3.47","242","8.07","23","0.77","-","-","2","0.07","8","0.27","-","-","-","-","4","0.13","-","-","1","0.13","-","-","-","-","-","-","1","0.10","2","0.20"
"福島県","735","9.67","23","","9","0.20","72","1.60","171","3.80","37","0.82","2","0.04","3","0.07","27","0.60","-","-","-","-","41","0.91","-","-","10","0.83","1","0.14","-","-","3","0.43","-","-","6","0.86"
"茨城県","573","4.78","7","","16","0.21","105","1.40","439","5.85","53","0.71","1","0.01","14","0.19","26","0.35","-","-","1","0.01","7","0.09","3","0.18","18","1.06","-","-","-","-","-","-","-","-","9","0.69"
"栃木県","459","6.04","2","","1","0.02","51","1.06","97","2.02","26","0.54","1","0.02","2","0.04","33","0.69","-","-","-","-","5","0.10","-","-","2","0.17","-","-","-","-","2","0.29","-","-","-","-"
"群馬県","784","8.00","2","","15","0.25","121","2.02","251","4.18","58","0.97","1","0.02","2","0.03","21","0.35","-","-","1","0.02","9","0.15","1","0.07","17","1.21","-","-","-","-","-","-","-","-","3","0.38"
"埼玉県","1222","4.95","16","","42","0.27","245","1.57","627","4.02","145","0.93","7","0.04","17","0.11","78","0.50","-","-","1","0.01","48","0.31","2","0.05","7","0.17","-","-","-","-","2","0.20","-","-","4","0.40"
"千葉県","1122","5.29","8","","15","0.11","196","1.47","598","4.50","128","0.96","-","-","16","0.12","64","0.48","-","-","1","0.01","36","0.27","-","-","7","0.21","-","-","-","-","-","-","-","-","1","0.11"
"東京都","2001","4.79","26","","33","0.13","455","1.73","1150","4.37","169","0.64","12","0.05","34","0.13","146","0.56","3","0.01","5","0.02","40","0.15","-","-","13","0.33","2","0.08","-","-","4","0.16","-","-","13","0.52"
"神奈川県","1409","4.24","19","","15","0.07","187","0.90","929","4.49","225","1.09","4","0.02","65","0.31","124","0.60","-","-","1","0.00","39","0.19","2","0.05","22","0.51","1","0.10","2","0.20","1","0.10","1","0.10","2","0.20"
"新潟県","855","8.91","17","","31","0.51","196","3.21","244","4.00","91","1.49","1","0.02","81","1.33","32","0.52","-","-","-","-","7","0.11","-","-","3","0.30","-","-","-","-","4","0.31","-","-","1","0.08"
"富山県","430","8.96","-","","17","0.59","82","2.83","107","3.69","31","1.07","-","-","28","0.97","8","0.28","-","-","-","-","3","0.10","-","-","8","1.14","-","-","-","-","6","1.20","-","-","-","-"
"石川県","391","8.15","4","","24","0.83","63","2.17","132","4.55","62","2.14","2","0.07","2","0.07","14","0.48","-","-","-","-","11","0.38","-","-","2","0.29","-","-","-","-","1","0.20","-","-","-","-"
"福井県","389","12.16","8","","11","0.50","57","2.59","154","7.00","54","2.45","-","-","-","-","11","0.50","-","-","-","-","10","0.45","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"山梨県","331","8.28","1","","3","0.13","27","1.13","81","3.38","5","0.21","-","-","-","-","4","0.17","-","-","-","-","1","0.04","-","-","-","-","-","-","-","-","2","0.20","-","-","-","-"
"長野県","823","9.46","2","","2","0.04","68","1.26","221","4.09","46","0.85","1","0.02","4","0.07","23","0.43","1","0.02","1","0.02","5","0.09","-","-","5","0.45","-","-","-","-","6","0.55","-","-","2","0.18"
"岐阜県","644","7.40","4","","8","0.15","32","0.60","192","3.62","32","0.60","3","0.06","-","-","32","0.60","-","-","-","-","5","0.09","-","-","1","0.09","-","-","-","-","1","0.20","-","-","-","-"
"静岡県","923","6.64","11","","16","0.18","68","0.76","372","4.18","124","1.39","2","0.02","6","0.07","45","0.51","-","-","-","-","13","0.15","-","-","10","0.45","-","-","-","-","1","0.10","-","-","2","0.20"
"愛知県","1183","6.07","20","","58","0.32","222","1.23","713","3.94","79","0.44","14","0.08","1","0.01","88","0.49","1","0.01","1","0.01","61","0.34","-","-","10","0.29","1","0.07","1","0.07","4","0.29","-","-","3","0.21"
"三重県","391","5.43","2","","19","0.42","57","1.27","238","5.29","37","0.82","2","0.04","1","0.02","25","0.56","1","0.02","1","0.02","8","0.18","-","-","4","0.33","-","-","-","-","-","-","-","-","-","-"
"滋賀県","236","4.45","-","","11","0.34","33","1.03","132","4.13","31","0.97","6","0.19","2","0.06","12","0.38","-","-","5","0.16","4","0.13","-","-","4","0.50","-","-","-","-","1","0.14","-","-","-","-"
"京都府","576","4.72","5","","29","0.40","50","0.68","316","4.33","36","0.49","-","-","2","0.03","24","0.33","-","-","1","0.01","-","-","-","-","7","0.44","-","-","-","-","-","-","-","-","1","0.14"
"大阪府","1467","4.76","66","","56","0.28","259","1.30","1131","5.66","185","0.93","12","0.06","6","0.03","86","0.43","4","0.02","6","0.03","35","0.18","-","-","12","0.23","-","-","-","-","4","0.24","1","0.06","10","0.59"
"兵庫県","1031","5.21","18","","35","0.27","105","0.82","736","5.75","129","1.01","7","0.05","6","0.05","42","0.33","1","0.01","2","0.02","7","0.05","1","0.03","13","0.37","-","-","-","-","5","0.42","-","-","1","0.08"
"奈良県","261","4.83","2","","11","0.32","14","0.41","117","3.44","25","0.74","-","-","3","0.09","15","0.44","-","-","1","0.03","2","0.06","-","-","2","0.22","-","-","-","-","1","0.17","-","-","1","0.17"
