"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2019年16週(04月15日～04月21日)","2019年04月24日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","12613","2.54","1825","0.58","1235","0.39","8752","2.76","25423","8.02","910","0.29","1225","0.39","2642","0.83","1593","0.50","218","0.07","283","0.09","9","0.01","447","0.64","8","0.02","13","0.03","70","0.15","1","0.00","464","0.97"
"北海道","505","2.27","82","0.59","57","0.41","712","5.12","563","4.05","42","0.30","13","0.09","114","0.82","38","0.27","1","0.01","10","0.07","-","-","10","0.34","1","0.04","-","-","4","0.17","-","-","19","0.83"
"青森県","217","3.34","2","0.05","9","0.21","92","2.19","305","7.26","9","0.21","30","0.71","53","1.26","18","0.43","2","0.05","5","0.12","-","-","2","0.18","-","-","-","-","4","0.67","-","-","8","1.33"
"岩手県","219","3.37","14","0.35","18","0.45","120","3.00","248","6.20","12","0.30","5","0.13","18","0.45","21","0.53","1","0.03","4","0.10","-","-","11","0.79","-","-","-","-","4","0.21","-","-","44","2.32"
"宮城県","315","3.35","54","0.93","18","0.31","268","4.62","528","9.10","19","0.33","1","0.02","83","1.43","37","0.64","-","-","2","0.03","-","-","1","0.08","1","0.08","-","-","3","0.25","-","-","4","0.33"
"秋田県","339","6.28","7","0.20","9","0.26","64","1.83","75","2.14","7","0.20","-","-","9","0.26","12","0.34","-","-","1","0.03","-","-","1","0.14","-","-","-","-","-","-","-","-","1","0.13"
"山形県","253","5.50","14","0.47","8","0.27","152","5.07","338","11.27","5","0.17","6","0.20","41","1.37","20","0.67","-","-","2","0.07","-","-","4","0.50","-","-","1","0.10","1","0.10","-","-","6","0.60"
"福島県","452","5.45","46","0.92","13","0.26","154","3.08","273","5.46","19","0.38","32","0.64","49","0.98","39","0.78","1","0.02","6","0.12","-","-","11","0.85","-","-","-","-","2","0.29","-","-","9","1.29"
"茨城県","240","2.00","19","0.25","39","0.52","232","3.09","372","4.96","20","0.27","10","0.13","88","1.17","21","0.28","3","0.04","9","0.12","-","-","20","1.18","-","-","-","-","2","0.17","-","-","1","0.08"
"栃木県","130","1.71","14","0.29","3","0.06","112","2.33","154","3.21","12","0.25","26","0.54","38","0.79","23","0.48","1","0.02","3","0.06","-","-","5","0.42","-","-","-","-","3","0.43","-","-","10","1.43"
"群馬県","314","3.57","33","0.61","19","0.35","149","2.76","371","6.87","17","0.31","6","0.11","45","0.83","24","0.44","2","0.04","5","0.09","-","-","7","0.47","-","-","-","-","-","-","-","-","20","2.22"
"埼玉県","766","2.97","83","0.51","56","0.34","495","3.04","1571","9.64","63","0.39","18","0.11","191","1.17","102","0.63","4","0.02","13","0.08","-","-","20","0.49","-","-","1","0.09","-","-","-","-","1","0.09"
"千葉県","506","2.38","63","0.47","39","0.29","425","3.15","801","5.93","41","0.30","4","0.03","171","1.27","70","0.52","5","0.04","7","0.05","-","-","13","0.37","-","-","2","0.22","3","0.33","-","-","8","0.89"
"東京都","1339","3.27","136","0.53","57","0.22","686","2.67","2461","9.58","88","0.34","16","0.06","191","0.74","145","0.56","7","0.03","18","0.07","-","-","16","0.42","-","-","1","0.04","2","0.08","1","0.04","21","0.84"
"神奈川県","711","1.98","62","0.27","65","0.28","580","2.49","1600","6.87","93","0.40","16","0.07","124","0.53","134","0.58","5","0.02","26","0.11","-","-","54","1.13","-","-","-","-","-","-","-","-","20","1.82"
"新潟県","313","3.48","80","1.40","40","0.70","290","5.09","868","15.23","19","0.33","5","0.09","109","1.91","34","0.60","-","-","11","0.19","-","-","3","0.30","-","-","-","-","2","0.15","-","-","5","0.38"
