"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023年03週(01月16日～01月22日)","2023年01月25日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","47366","9.59","907","0.29","385","0.12","1257","0.40","24263","7.71","232","0.07","332","0.11","16","0.01","748","0.24","189","0.06","84","0.03","5","0.01","145","0.21","7","0.01","7","0.01","6","0.01","2","0.00","1","0.00"
"北海道","1867","8.19","64","0.46","37","0.27","75","0.54","357","2.59","22","0.16","4","0.03","1","0.01","26","0.19","5","0.04","5","0.04","-","-","2","0.07","-","-","-","-","-","-","-","-","-","-"
"青森県","513","8.02","11","0.26","5","0.12","7","0.17","251","5.98","-","-","-","-","-","-","9","0.21","-","-","-","-","-","-","1","0.10","-","-","-","-","2","0.33","-","-","-","-"
"岩手県","68","1.08","14","0.35","4","0.10","35","0.88","262","6.55","-","-","1","0.03","-","-","8","0.20","1","0.03","-","-","-","-","4","0.31","-","-","1","0.05","-","-","-","-","-","-"
"宮城県","221","2.33","53","0.91","11","0.19","6","0.10","364","6.28","9","0.16","-","-","1","0.02","15","0.26","-","-","1","0.02","-","-","1","0.08","-","-","-","-","-","-","-","-","-","-"
"秋田県","133","2.61","2","0.06","1","0.03","15","0.45","97","2.94","1","0.03","-","-","2","0.06","5","0.15","12","0.36","2","0.06","-","-","1","0.14","-","-","-","-","-","-","-","-","-","-"
"山形県","101","2.30","25","0.86","1","0.03","20","0.69","308","10.62","-","-","-","-","-","-","7","0.24","-","-","2","0.07","-","-","1","0.13","2","0.20","-","-","-","-","-","-","-","-"
"福島県","365","4.40","100","2.00","12","0.24","23","0.46","297","5.94","1","0.02","2","0.04","-","-","22","0.44","-","-","-","-","-","-","1","0.08","-","-","-","-","-","-","-","-","-","-"
"茨城県","670","5.58","8","0.11","1","0.01","19","0.25","421","5.61","3","0.04","-","-","-","-","16","0.21","-","-","-","-","-","-","13","0.76","-","-","-","-","1","0.08","-","-","-","-"
"栃木県","433","5.70","3","0.06","1","0.02","17","0.35","317","6.60","4","0.08","3","0.06","-","-","16","0.33","-","-","-","-","-","-","1","0.08","-","-","-","-","-","-","-","-","-","-"
"群馬県","400","4.71","11","0.21","6","0.12","13","0.25","460","8.85","2","0.04","1","0.02","-","-","14","0.27","-","-","-","-","-","-","4","0.29","-","-","-","-","-","-","-","-","-","-"
