"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020年25週(06月15日～06月21日)","2020年06月24日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","6","0.00","18","0.01","442","0.14","2260","0.72","5813","1.84","281","0.09","390","0.12","68","0.02","1809","0.57","274","0.09","201","0.06","5","0.01","112","0.16","11","0.02","10","0.02","23","0.05","1","0.00","2","0.00"
"北海道","-","-","4","0.03","27","0.20","114","0.83","99","0.72","11","0.08","5","0.04","1","0.01","59","0.43","1","0.01","4","0.03","-","-","2","0.07","-","-","-","-","1","0.04","-","-","1","0.04"
"青森県","-","-","-","-","5","0.12","24","0.57","70","1.67","1","0.02","4","0.10","4","0.10","13","0.31","1","0.02","-","-","-","-","1","0.09","-","-","-","-","1","0.17","-","-","-","-"
"岩手県","-","-","-","-","17","0.41","60","1.46","99","2.41","6","0.15","5","0.12","1","0.02","26","0.63","1","0.02","2","0.05","-","-","2","0.14","-","-","-","-","1","0.05","-","-","-","-"
"宮城県","-","-","-","-","5","0.09","38","0.66","79","1.36","3","0.05","12","0.21","2","0.03","43","0.74","3","0.05","3","0.05","-","-","1","0.08","-","-","-","-","4","0.33","-","-","-","-"
"秋田県","-","-","-","-","8","0.23","25","0.71","27","0.77","1","0.03","-","-","-","-","15","0.43","-","-","1","0.03","-","-","1","0.14","-","-","-","-","-","-","-","-","-","-"
"山形県","-","-","-","-","17","0.59","40","1.38","48","1.66","-","-","2","0.07","1","0.03","17","0.59","1","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"福島県","-","-","-","-","8","0.16","61","1.22","48","0.96","5","0.10","10","0.20","-","-","46","0.92","1","0.02","5","0.10","-","-","6","0.46","-","-","-","-","-","-","-","-","-","-"
"茨城県","-","-","1","0.01","10","0.13","56","0.75","97","1.29","7","0.09","12","0.16","2","0.03","35","0.47","8","0.11","2","0.03","-","-","12","0.71","-","-","1","0.08","2","0.17","-","-","-","-"
"栃木県","-","-","-","-","5","0.10","21","0.44","44","0.92","6","0.13","4","0.08","1","0.02","36","0.75","-","-","1","0.02","-","-","3","0.25","-","-","-","-","2","0.29","-","-","-","-"
"群馬県","-","-","-","-","5","0.09","32","0.60","102","1.92","3","0.06","5","0.09","-","-","34","0.64","13","0.25","7","0.13","-","-","6","0.40","-","-","-","-","-","-","-","-","-","-"
"埼玉県","-","-","-","-","6","0.04","66","0.41","344","2.12","11","0.07","26","0.16","-","-","93","0.57","4","0.02","8","0.05","2","0.05","6","0.15","-","-","2","0.18","-","-","-","-","-","-"
"千葉県","-","-","-","-","7","0.05","88","0.67","185","1.41","8","0.06","20","0.15","4","0.03","69","0.53","4","0.03","10","0.08","-","-","4","0.12","1","0.11","-","-","2","0.22","-","-","-","-"
"東京都","-","-","-","-","3","0.01","87","0.34","515","2.00","7","0.03","36","0.14","3","0.01","131","0.51","10","0.04","20","0.08","1","0.03","5","0.13","-","-","1","0.04","2","0.08","1","0.04","-","-"
"神奈川県","-","-","2","0.01","9","0.04","80","0.36","293","1.31","16","0.07","21","0.09","5","0.02","104","0.46","3","0.01","17","0.08","-","-","12","0.24","-","-","2","0.18","-","-","-","-","-","-"
"新潟県","-","-","1","0.02","35","0.61","78","1.37","60","1.05","13","0.23","8","0.14","2","0.04","44","0.77","-","-","9","0.16","-","-","-","-","-","-","-","-","1","0.08","-","-","-","-"
"富山県","-","-","-","-","2","0.07","33","1.14","69","2.38","1","0.03","1","0.03","2","0.07","13","0.45","2","0.07","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"石川県","-","-","-","-","6","0.21","14","0.48","72","2.48","-","-","-","-","-","-","15","0.52","-","-","1","0.03","-","-","-","-","-","-","-","-","1","0.20","-","-","-","-"
"福井県","-","-","-","-","2","0.09","10","0.43","39","1.70","-","-","1","0.04","1","0.04","11","0.48","-","-","1","0.04","-","-","1","0.33","-","-","-","-","-","-","-","-","-","-"
"山梨県","-","-","-","-","1","0.04","12","0.50","43","1.79","-","-","3","0.13","-","-","15","0.63","-","-","2","0.08","-","-","1","0.11","1","0.10","-","-","-","-","-","-","-","-"
"長野県","-","-","-","-","4","0.07","43","0.80","142","2.63","11","0.20","2","0.04","1","0.02","32","0.59","5","0.09","1","0.02","-","-","1","0.09","1","0.09","-","-","-","-","-","-","-","-"
"岐阜県","1","0.01","-","-","2","0.04","16","0.30","37","0.70","-","-","2","0.04","-","-","16","0.30","-","-","-","-","-","-","1","0.09","-","-","-","-","-","-","-","-","-","-"
"静岡県","-","-","-","-","9","0.10","55","0.62","147","1.65","7","0.08","9","0.10","-","-","58","0.65","3","0.03","4","0.04","-","-","3","0.14","-","-","-","-","-","-","-","-","-","-"
"愛知県","-","-","4","0.02","9","0.05","109","0.60","295","1.62","11","0.06","14","0.08","3","0.02","77","0.42","5","0.03","7","0.04","-","-","1","0.03","-","-","-","-","-","-","-","-","-","-"
"三重県","-","-","-","-","9","0.20","23","0.52","80","1.82","9","0.20","3","0.07","2","0.05","25","0.57","3","0.07","1","0.02","-","-","-","-","1","0.11","1","0.11","1","0.11","-","-","-","-"
"滋賀県","-","-","-","-","3","0.08","17","0.47","75","2.08","2","0.06","7","0.19","1","0.03","15","0.42","2","0.06","-","-","-","-","1","0.13","1","0.14","-","-","-","-","-","-","-","-"
"京都府","1","0.01","-","-","1","0.01","43","0.57","116","1.53","4","0.05","13","0.17","-","-","21","0.28","4","0.05","4","0.05","-","-","2","0.11","-","-","-","-","-","-","-","-","-","-"
"大阪府","1","0.00","-","-","11","0.06","83","0.42","377","1.92","11","0.06","26","0.13","3","0.02","108","0.55","9","0.05","16","0.08","1","0.02","4","0.08","-","-","-","-","-","-","-","-","-","-"
"兵庫県","-","-","1","0.01","3","0.02","45","0.35","296","2.29","9","0.07","15","0.12","2","0.02","60","0.47","12","0.09","10","0.08","-","-","5","0.14","1","0.07","-","-","-","-","-","-","-","-"
"奈良県","-","-","-","-","-","-","16","0.47","60","1.76","3","0.09","4","0.12","-","-","16","0.47","3","0.09","1","0.03","-","-","4","0.40","-","-","-","-","-","-","-","-","-","-"
"和歌山県","-","-","-","-","2","0.07","12","0.41","34","1.17","2","0.07","1","0.03","-","-","8","0.28","3","0.10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"鳥取県","-","-","-","-","15","0.79","43","2.26","37","1.95","6","0.32","6","0.32","1","0.05","11","0.58","2","0.11","2","0.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"島根県","-","-","-","-","6","0.26","7","0.30","36","1.57","6","0.26","1","0.04","-","-","23","1.00","-","-","1","0.04","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"岡山県","-","-","-","-","10","0.19","12","0.22","129","2.39","7","0.13","5","0.09","1","0.02","25","0.46","1","0.02","5","0.09","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"広島県","-","-","1","0.01","20","0.28","52","0.72","171","2.38","10","0.14","4","0.06","3","0.04","46","0.64","3","0.04","3","0.04","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"山口県","-","-","1","0.02","4","0.09","48","1.04","93","2.02","5","0.11","3","0.07","1","0.02","34","0.74","3","0.07","2","0.04","-","-","2","0.22","-","-","-","-","2","0.22","-","-","-","-"
"徳島県","-","-","1","0.04","4","0.17","6","0.26","45","1.96","-","-","2","0.09","2","0.09","17","0.74","-","-","-","-","-","-","-","-","1","0.14","-","-","-","-","-","-","-","-"
"香川県","-","-","-","-","1","0.04","8","0.29","105","3.75","3","0.11","2","0.07","1","0.04","19","0.68","5","0.18","2","0.07","1","0.20","4","0.80","-","-","-","-","-","-","-","-","-","-"
"愛媛県","-","-","-","-","3","0.08","31","0.84","115","3.11","5","0.14","2","0.05","2","0.05","27","0.73","1","0.03","9","0.24","-","-","5","0.63","-","-","-","-","-","-","-","-","-","-"
