"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023年17週(04月24日～04月30日)","2023年05月08日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","10945","2.24","3384","1.08","987","0.32","2570","0.82","15503","4.96","283","0.09","582","0.19","34","0.01","1042","0.33","1020","0.33","107","0.03","10","0.01","170","0.25","5","0.01","12","0.03","22","0.05","-","-","6","0.01"
"北海道","924","4.11","334","2.39","50","0.36","208","1.49","394","2.81","16","0.11","3","0.02","1","0.01","26","0.19","4","0.03","4","0.03","-","-","1","0.03","-","-","-","-","5","0.22","-","-","-","-"
"青森県","423","6.93","34","0.85","8","0.20","9","0.23","106","2.65","1","0.03","2","0.05","-","-","6","0.15","-","-","1","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"岩手県","171","2.80","29","0.74","2","0.05","56","1.44","178","4.56","5","0.13","-","-","-","-","18","0.46","-","-","-","-","-","-","-","-","1","0.05","-","-","1","0.05","-","-","-","-"
"宮城県","536","5.89","32","0.58","22","0.40","18","0.33","240","4.36","6","0.11","1","0.02","2","0.04","22","0.40","-","-","1","0.02","-","-","1","0.08","-","-","-","-","-","-","-","-","-","-"
"秋田県","197","3.79","8","0.24","5","0.15","15","0.44","68","2.00","-","-","-","-","-","-","8","0.24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"山形県","389","9.05","2","0.07","10","0.36","12","0.43","80","2.86","4","0.14","-","-","-","-","8","0.29","-","-","1","0.04","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"福島県","166","2.00","38","0.76","12","0.24","26","0.52","158","3.16","6","0.12","-","-","-","-","22","0.44","-","-","1","0.02","-","-","3","0.23","-","-","-","-","3","0.43","-","-","-","-"
"茨城県","99","0.81","8","0.10","15","0.19","54","0.70","235","3.05","15","0.19","24","0.31","-","-","14","0.18","8","0.10","1","0.01","-","-","9","0.53","-","-","-","-","-","-","-","-","-","-"
"栃木県","66","0.87","35","0.73","6","0.13","19","0.40","123","2.56","1","0.02","3","0.06","-","-","19","0.40","-","-","4","0.08","-","-","1","0.08","-","-","-","-","-","-","-","-","-","-"
"群馬県","313","3.60","8","0.15","13","0.24","16","0.30","240","4.44","3","0.06","7","0.13","3","0.06","24","0.44","1","0.02","2","0.04","-","-","5","0.36","1","0.11","-","-","-","-","-","-","-","-"
"埼玉県","432","1.68","116","0.72","78","0.48","118","0.73","849","5.27","8","0.05","21","0.13","3","0.02","77","0.48","13","0.08","7","0.04","3","0.08","4","0.11","1","0.09","-","-","-","-","-","-","1","0.09"
"千葉県","364","1.79","31","0.24","36","0.28","78","0.61","469","3.66","15","0.12","20","0.16","1","0.01","41","0.32","7","0.05","8","0.06","2","0.06","12","0.35","-","-","-","-","-","-","-","-","-","-"
"東京都","630","1.53","87","0.33","82","0.32","198","0.76","1341","5.16","29","0.11","35","0.13","6","0.02","99","0.38","34","0.13","6","0.02","-","-","6","0.16","-","-","2","0.08","1","0.04","-","-","-","-"
"神奈川県","394","1.14","39","0.17","28","0.13","105","0.47","787","3.51","10","0.04","10","0.04","4","0.02","80","0.36","20","0.09","8","0.04","-","-","30","0.61","-","-","-","-","1","0.08","-","-","-","-"
"新潟県","1358","16.17","72","1.33","12","0.22","77","1.43","276","5.11","3","0.06","2","0.04","-","-","11","0.20","-","-","1","0.02","1","0.10","1","0.10","1","0.08","1","0.08","2","0.15","-","-","-","-"
"富山県","87","1.81","58","2.00","29","1.00","39","1.34","352","12.14","6","0.21","-","-","-","-","4","0.14","2","0.07","1","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"石川県","23","0.48","27","0.93","4","0.14","17","0.59","300","10.34","-","-","21","0.72","-","-","6","0.21","12","0.41","-","-","-","-","1","0.14","-","-","-","-","-","-","-","-","-","-"
"福井県","4","0.11","68","2.96","17","0.74","32","1.39","146","6.35","5","0.22","18","0.78","-","-","6","0.26","31","1.35","2","0.09","-","-","1","0.33","-","-","-","-","-","-","-","-","-","-"
"山梨県","66","1.61","-","-","1","0.04","1","0.04","85","3.54","-","-","-","-","-","-","6","0.25","1","0.04","2","0.08","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"長野県","117","1.34","11","0.21","10","0.19","18","0.34","297","5.60","3","0.06","-","-","1","0.02","11","0.21","3","0.06","2","0.04","-","-","8","0.80","-","-","2","0.17","-","-","-","-","-","-"
"岐阜県","59","0.68","44","0.83","26","0.49","19","0.36","252","4.75","2","0.04","4","0.08","-","-","10","0.19","1","0.02","1","0.02","-","-","3","0.27","-","-","-","-","-","-","-","-","-","-"
"静岡県","295","2.12","50","0.57","22","0.25","37","0.42","397","4.51","5","0.06","8","0.09","-","-","31","0.35","2","0.02","1","0.01","-","-","5","0.23","-","-","-","-","1","0.10","-","-","-","-"
"愛知県","490","2.51","86","0.47","57","0.31","89","0.49","986","5.42","14","0.08","18","0.10","-","-","38","0.21","16","0.09","5","0.03","-","-","3","0.09","-","-","-","-","-","-","-","-","-","-"
"三重県","399","5.54","28","0.62","15","0.33","15","0.33","246","5.47","5","0.11","-","-","-","-","16","0.36","-","-","-","-","-","-","1","0.08","-","-","-","-","-","-","-","-","-","-"
"滋賀県","112","1.90","81","2.25","4","0.11","19","0.53","175","4.86","8","0.22","1","0.03","-","-","4","0.11","5","0.14","5","0.14","-","-","-","-","-","-","1","0.14","-","-","-","-","-","-"
"京都府","79","0.65","149","2.04","22","0.30","91","1.25","346","4.74","4","0.05","4","0.05","-","-","14","0.19","12","0.16","2","0.03","-","-","4","0.25","-","-","-","-","-","-","-","-","1","0.14"
"大阪府","244","0.84","606","3.19","80","0.42","238","1.25","1099","5.78","13","0.07","29","0.15","2","0.01","73","0.38","28","0.15","8","0.04","1","0.02","11","0.21","-","-","-","-","-","-","-","-","-","-"
"兵庫県","259","1.32","233","1.82","33","0.26","64","0.50","802","6.27","18","0.14","30","0.23","1","0.01","30","0.23","55","0.43","4","0.03","-","-","12","0.34","-","-","1","0.07","-","-","-","-","1","0.07"
"奈良県","42","0.76","81","2.38","7","0.21","12","0.35","194","5.71","-","-","17","0.50","-","-","11","0.32","6","0.18","1","0.03","1","0.10","4","0.40","-","-","-","-","-","-","-","-","-","-"
"和歌山県","13","0.27","113","3.77","8","0.27","19","0.63","193","6.43","2","0.07","1","0.03","1","0.03","7","0.23","1","0.03","1","0.03","-","-","1","0.25","-","-","-","-","1","0.09","-","-","2","0.18"
"鳥取県","70","2.41","24","1.26","1","0.05","31","1.63","179","9.42","-","-","2","0.11","-","-","3","0.16","-","-","-","-","-","-","-","-","-","-","1","0.20","-","-","-","-","-","-"
"島根県","66","1.74","8","0.35","2","0.09","8","0.35","116","5.04","3","0.13","3","0.13","-","-","17","0.74","3","0.13","1","0.04","-","-","1","0.33","-","-","-","-","-","-","-","-","-","-"
"岡山県","218","2.60","37","0.69","8","0.15","33","0.61","306","5.67","8","0.15","21","0.39","-","-","12","0.22","10","0.19","1","0.02","-","-","3","0.25","-","-","-","-","-","-","-","-","-","-"
"広島県","435","3.82","100","1.39","41","0.57","67","0.93","279","3.88","3","0.04","1","0.01","3","0.04","24","0.33","44","0.61","-","-","2","0.11","9","0.47","1","0.05","1","0.05","-","-","-","-","-","-"
"山口県","110","1.69","54","1.26","7","0.16","55","1.28","201","4.67","3","0.07","2","0.05","1","0.02","22","0.51","19","0.44","2","0.05","-","-","1","0.11","-","-","-","-","-","-","-","-","-","-"
"徳島県","63","1.70","13","0.57","2","0.09","5","0.22","108","4.70","3","0.13","-","-","-","-","10","0.43","2","0.09","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"香川県","28","0.60","26","0.93","9","0.32","2","0.07","182","6.50","2","0.07","3","0.11","-","-","14","0.50","36","1.29","1","0.04","-","-","2","0.40","-","-","1","0.20","-","-","-","-","-","-"
"愛媛県","52","0.85","39","1.05","12","0.32","73","1.97","242","6.54","8","0.22","-","-","-","-","22","0.59","1","0.03","1","0.03","-","-","3","0.38","-","-","-","-","-","-","-","-","-","-"
"高知県","86","1.91","19","0.70","3","0.11","4","0.15","54","2.00","-","-","3","0.11","1","0.04","6","0.22","58","2.15","-","-","-","-","-","-","-","-","-","-","2","0.25","-","-","-","-"
"福岡県","353","1.78","160","1.33","59","0.49","330","2.75","698","5.82","15","0.13","30","0.25","1","0.01","55","0.46","110","0.92","7","0.06","-","-","4","0.15","-","-","-","-","-","-","-","-","-","-"
"佐賀県","88","2.26","41","1.78","16","0.70","7","0.30","100","4.35","1","0.04","2","0.09","-","-","14","0.61","80","3.48","-","-","-","-","1","0.25","-","-","-","-","1","0.17","-","-","1","0.17"
"長崎県","83","1.19","90","2.05","12","0.27","42","0.95","132","3.00","2","0.05","14","0.32","-","-","15","0.34","146","3.32","4","0.09","-","-","1","0.13","-","-","-","-","1","0.08","-","-","-","-"
"熊本県","124","1.57","10","0.20","11","0.22","34","0.69","208","4.24","3","0.06","11","0.22","-","-","28","0.57","111","2.27","3","0.06","-","-","4","0.40","-","-","1","0.07","-","-","-","-","-","-"
"大分県","90","1.55","36","1.00","11","0.31","47","1.31","452","12.56","13","0.36","3","0.08","-","-","13","0.36","6","0.17","1","0.03","-","-","-","-","-","-","-","-","3","0.27","-","-","-","-"
"宮崎県","113","1.98","59","1.69","23","0.66","30","0.86","362","10.34","3","0.09","18","0.51","-","-","19","0.54","97","2.77","1","0.03","-","-","5","0.83","-","-","-","-","-","-","-","-","-","-"
"鹿児島県","170","1.89","134","2.53","39","0.74","29","0.55","358","6.75","7","0.13","28","0.53","3","0.06","15","0.28","30","0.57","3","0.06","-","-","5","0.71","-","-","1","0.08","-","-","-","-","-","-"
"沖縄県","45","0.82","26","0.81","17","0.53","54","1.69","112","3.50","2","0.06","162","5.06","-","-","11","0.34","5","0.16","2","0.06","-","-","4","0.50","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
