"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014年35週(08月25日～08月31日)","2014年09月03日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","百日咳","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","123","0.03","1234","","1301","0.41","2612","0.83","10308","3.28","1315","0.42","3244","1.03","447","0.14","2009","0.64","62","0.02","7079","2.25","944","0.30","7","0.01","506","0.74","6","0.01","22","0.05","113","0.24","5","0.01","5","0.01"
"北海道","1","0.00","37","","60","0.42","191","1.34","281","1.97","42","0.29","184","1.29","8","0.06","65","0.45","-","-","483","3.38","31","0.22","-","-","10","0.36","1","0.04","-","-","10","0.43","-","-","-","-"
"青森県","-","-","4","","8","0.19","40","0.95","66","1.57","11","0.26","19","0.45","16","0.38","16","0.38","-","-","147","3.50","3","0.07","-","-","-","-","-","-","-","-","3","0.50","-","-","-","-"
"岩手県","1","0.02","5","","2","0.05","33","0.83","128","3.20","16","0.40","70","1.75","12","0.30","22","0.55","-","-","267","6.68","8","0.20","-","-","4","0.29","-","-","-","-","16","0.84","-","-","-","-"
"宮城県","-","-","8","","13","0.22","56","0.97","140","2.41","23","0.40","21","0.36","39","0.67","55","0.95","-","-","333","5.74","12","0.21","-","-","14","1.17","-","-","-","-","4","0.33","-","-","-","-"
"秋田県","-","-","3","","8","0.23","20","0.57","47","1.34","5","0.14","9","0.26","2","0.06","10","0.29","-","-","143","4.09","6","0.17","3","0.43","2","0.29","-","-","-","-","3","0.38","-","-","-","-"
"山形県","-","-","7","","5","0.17","27","0.93","90","3.10","10","0.34","27","0.93","6","0.21","17","0.59","3","0.10","198","6.83","12","0.41","-","-","1","0.13","-","-","-","-","-","-","-","-","-","-"
"福島県","-","-","11","","25","0.56","30","0.67","61","1.36","23","0.51","30","0.67","12","0.27","26","0.58","-","-","312","6.93","65","1.44","-","-","5","0.42","-","-","-","-","-","-","-","-","-","-"
"茨城県","-","-","4","","16","0.21","59","0.79","284","3.79","18","0.24","35","0.47","-","-","25","0.33","1","0.01","178","2.37","9","0.12","1","0.06","15","0.88","-","-","-","-","-","-","-","-","1","0.08"
