"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2012年41週(10月08日～10月14日)","2012年10月17日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","百日咳","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","292","0.06","3647","","464","0.15","2736","0.87","9349","2.97","1675","0.53","2182","0.69","133","0.04","1701","0.54","57","0.02","707","0.22","1032","0.33","4","0.01","367","0.54","8","0.02","10","0.02","506","1.08","22","0.05"
"北海道","3","0.01","88","","19","0.13","227","1.59","161","1.13","73","0.51","270","1.89","1","0.01","66","0.46","3","0.02","43","0.30","4","0.03","-","-","14","0.48","-","-","-","-","11","0.48","-","-"
"青森県","-","-","40","","1","0.02","49","1.20","38","0.93","25","0.61","40","0.98","1","0.02","22","0.54","-","-","17","0.41","6","0.15","-","-","4","0.36","-","-","-","-","18","3.00","-","-"
"岩手県","-","-","65","","3","0.08","30","0.75","57","1.43","24","0.60","116","2.90","9","0.23","11","0.28","-","-","16","0.40","44","1.10","-","-","17","1.21","-","-","-","-","32","1.68","-","-"
"宮城県","-","-","26","","10","0.17","53","0.91","193","3.33","46","0.79","155","2.67","5","0.09","24","0.41","-","-","27","0.47","39","0.67","-","-","-","-","-","-","-","-","28","2.33","2","0.17"
"秋田県","3","0.05","47","","9","0.26","14","0.40","69","1.97","17","0.49","108","3.09","-","-","17","0.49","-","-","29","0.83","7","0.20","-","-","2","0.29","-","-","-","-","13","1.63","-","-"
"山形県","-","-","67","","5","0.17","46","1.59","80","2.76","34","1.17","109","3.76","-","-","19","0.66","1","0.03","32","1.10","33","1.14","-","-","4","0.50","-","-","1","0.10","12","1.20","-","-"
"福島県","-","-","94","","1","0.02","31","0.65","67","1.40","38","0.79","114","2.38","7","0.15","17","0.35","-","-","16","0.33","10","0.21","-","-","3","0.25","-","-","-","-","14","2.00","-","-"
"茨城県","9","0.08","77","","2","0.03","45","0.60","216","2.88","20","0.27","46","0.61","2","0.03","25","0.33","-","-","5","0.07","6","0.08","1","0.06","16","0.94","1","0.08","-","-","8","0.62","-","-"
"栃木県","-","-","55","","4","0.08","17","0.35","60","1.25","17","0.35","103","2.15","3","0.06","23","0.48","-","-","-","-","10","0.21","-","-","7","0.58","-","-","-","-","35","5.00","-","-"
"群馬県","-","-","87","","7","0.12","35","0.58","174","2.90","40","0.67","27","0.45","2","0.03","21","0.35","3","0.05","9","0.15","25","0.42","-","-","11","0.79","1","0.13","-","-","40","5.00","-","-"
"埼玉県","7","0.03","157","","25","0.16","149","0.94","488","3.07","82","0.52","131","0.82","7","0.04","103","0.65","2","0.01","28","0.18","55","0.35","-","-","28","0.67","-","-","1","0.11","35","3.89","1","0.11"
"千葉県","7","0.03","103","","12","0.09","159","1.20","331","2.51","47","0.36","82","0.62","4","0.03","63","0.48","3","0.02","28","0.21","40","0.30","1","0.03","19","0.54","-","-","-","-","15","1.67","4","0.44"
"東京都","17","0.04","359","","72","0.28","298","1.15","769","2.97","128","0.49","128","0.49","9","0.03","171","0.66","4","0.02","79","0.31","75","0.29","-","-","12","0.32","1","0.04","1","0.04","29","1.21","-","-"
"神奈川県","11","0.03","76","","45","0.22","122","0.60","480","2.38","120","0.59","190","0.94","7","0.03","107","0.53","1","0.00","59","0.29","65","0.32","-","-","37","0.90","-","-","-","-","13","1.30","-","-"
"新潟県","-","-","134","","9","0.15","70","1.17","68","1.13","51","0.85","58","0.97","7","0.12","32","0.53","2","0.03","48","0.80","14","0.23","-","-","-","-","-","-","-","-","5","0.38","10","0.77"
"富山県","2","0.04","46","","4","0.14","36","1.24","98","3.38","24","0.83","7","0.24","-","-","10","0.34","3","0.10","10","0.34","3","0.10","-","-","-","-","-","-","-","-","6","1.20","-","-"
"石川県","-","-","55","","-","-","18","0.62","72","2.48","3","0.10","53","1.83","2","0.07","10","0.34","-","-","6","0.21","12","0.41","-","-","-","-","-","-","-","-","2","0.40","-","-"
"福井県","-","-","40","","1","0.05","20","0.91","68","3.09","6","0.27","12","0.55","1","0.05","15","0.68","1","0.05","2","0.09","17","0.77","-","-","1","0.33","-","-","1","0.17","-","-","-","-"
"山梨県","-","-","2","","1","0.04","28","1.17","55","2.29","17","0.71","7","0.29","1","0.04","9","0.38","2","0.08","2","0.08","4","0.17","-","-","6","0.67","-","-","-","-","4","0.40","-","-"
"長野県","-","-","7","","3","0.05","71","1.29","155","2.82","37","0.67","12","0.22","2","0.04","18","0.33","2","0.04","18","0.33","6","0.11","-","-","5","0.45","-","-","-","-","12","1.09","-","-"
"岐阜県","8","0.09","40","","9","0.17","17","0.32","125","2.36","22","0.42","4","0.08","5","0.09","22","0.42","-","-","3","0.06","38","0.72","-","-","4","0.36","1","0.20","1","0.20","10","2.00","-","-"
"静岡県","4","0.03","86","","7","0.08","41","0.46","244","2.74","48","0.54","17","0.19","1","0.01","50","0.56","1","0.01","7","0.08","23","0.26","-","-","8","0.36","-","-","1","0.10","16","1.60","-","-"
"愛知県","3","0.02","148","","11","0.06","104","0.57","472","2.61","68","0.38","12","0.07","2","0.01","95","0.52","5","0.03","8","0.04","80","0.44","-","-","11","0.32","1","0.07","-","-","25","1.79","-","-"
"三重県","3","0.04","40","","12","0.27","19","0.42","138","3.07","13","0.29","8","0.18","3","0.07","22","0.49","1","0.02","3","0.07","33","0.73","-","-","1","0.08","-","-","-","-","6","0.67","-","-"
"滋賀県","6","0.11","40","","1","0.03","44","1.38","67","2.09","13","0.41","8","0.25","-","-","18","0.56","1","0.03","8","0.25","6","0.19","-","-","1","0.13","-","-","-","-","1","0.14","-","-"
"京都府","2","0.02","63","","-","-","59","0.81","201","2.75","32","0.44","14","0.19","4","0.05","28","0.38","-","-","13","0.18","6","0.08","-","-","10","0.56","-","-","-","-","1","0.17","-","-"
"大阪府","9","0.03","278","","36","0.18","240","1.21","786","3.95","89","0.45","40","0.20","11","0.06","98","0.49","2","0.01","33","0.17","53","0.27","1","0.02","15","0.29","-","-","-","-","16","0.94","-","-"
"兵庫県","3","0.02","117","","14","0.11","44","0.34","663","5.14","53","0.41","7","0.05","2","0.02","61","0.47","2","0.02","19","0.15","19","0.15","-","-","10","0.29","-","-","1","0.09","10","0.91","-","-"
"奈良県","-","-","28","","10","0.29","8","0.23","68","1.94","8","0.23","6","0.17","1","0.03","12","0.34","-","-","5","0.14","4","0.11","-","-","2","0.22","-","-","-","-","3","0.50","-","-"
"和歌山県","-","-","15","","3","0.10","16","0.52","45","1.45","17","0.55","1","0.03","1","0.03","14","0.45","-","-","6","0.19","3","0.10","-","-","-","-","-","-","-","-","12","1.09","2","0.18"
"鳥取県","-","-","34","","1","0.05","21","1.11","63","3.32","5","0.26","1","0.05","-","-","8","0.42","-","-","4","0.21","1","0.05","-","-","3","1.00","-","-","1","0.20","7","1.40","-","-"
"島根県","-","-","47","","-","-","9","0.39","109","4.74","13","0.57","4","0.17","-","-","12","0.52","-","-","5","0.22","5","0.22","-","-","-","-","-","-","-","-","7","0.88","-","-"
"岡山県","-","-","63","","3","0.06","16","0.30","210","3.89","25","0.46","1","0.02","2","0.04","24","0.44","1","0.02","11","0.20","21","0.39","-","-","7","0.58","-","-","-","-","7","1.40","1","0.20"
"広島県","-","-","109","","9","0.13","41","0.57","210","2.92","49","0.68","-","-","1","0.01","46","0.64","4","0.06","5","0.07","16","0.22","1","0.05","14","0.74","1","0.05","-","-","5","0.24","-","-"
"山口県","2","0.03","111","","-","-","96","2.00","174","3.63","19","0.40","-","-","2","0.04","43","0.90","2","0.04","11","0.23","13","0.27","-","-","1","0.11","-","-","-","-","10","1.11","-","-"
