"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2019年05週(01月28日～02月03日)","2019年02月06日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","214592","43.24","1258","0.40","905","0.29","7909","2.49","20611","6.50","794","0.25","397","0.13","2313","0.73","954","0.30","39","0.01","303","0.10","6","0.01","454","0.65","12","0.03","8","0.02","107","0.22","3","0.01","37","0.08"
"北海道","8023","35.98","105","0.75","44","0.31","679","4.85","378","2.70","36","0.26","2","0.01","58","0.41","21","0.15","-","-","6","0.04","-","-","14","0.50","-","-","-","-","12","0.52","-","-","3","0.13"
"青森県","2041","31.40","16","0.38","7","0.17","101","2.40","275","6.55","9","0.21","6","0.14","37","0.88","14","0.33","1","0.02","13","0.31","-","-","3","0.27","-","-","-","-","6","1.00","-","-","-","-"
"岩手県","2577","39.65","4","0.10","13","0.33","193","4.83","118","2.95","16","0.40","14","0.35","40","1.00","5","0.13","1","0.03","10","0.25","-","-","6","0.43","-","-","-","-","8","0.42","-","-","3","0.16"
"宮城県","5583","58.77","33","0.56","15","0.25","188","3.19","304","5.15","17","0.29","16","0.27","189","3.20","16","0.27","1","0.02","2","0.03","-","-","5","0.42","-","-","-","-","7","0.58","-","-","1","0.08"
"秋田県","1938","36.57","5","0.15","-","-","69","2.03","121","3.56","1","0.03","2","0.06","24","0.71","7","0.21","-","-","-","-","-","-","4","0.57","-","-","-","-","7","0.88","-","-","-","-"
"山形県","1960","42.61","8","0.27","4","0.13","126","4.20","268","8.93","12","0.40","4","0.13","60","2.00","27","0.90","2","0.07","1","0.03","-","-","4","0.50","-","-","-","-","2","0.20","-","-","-","-"
"福島県","4265","51.39","22","0.44","22","0.44","153","3.06","199","3.98","23","0.46","11","0.22","65","1.30","24","0.48","2","0.04","7","0.14","-","-","13","1.00","-","-","-","-","2","0.29","-","-","-","-"
"茨城県","5737","47.81","29","0.39","22","0.29","134","1.79","437","5.83","24","0.32","6","0.08","33","0.44","13","0.17","1","0.01","4","0.05","-","-","15","0.88","-","-","-","-","2","0.15","-","-","-","-"
"栃木県","3899","51.30","16","0.33","2","0.04","74","1.54","185","3.85","13","0.27","2","0.04","26","0.54","21","0.44","-","-","4","0.08","-","-","2","0.17","-","-","-","-","2","0.29","-","-","-","-"
"群馬県","3936","44.73","23","0.43","14","0.26","87","1.61","266","4.93","7","0.13","6","0.11","33","0.61","22","0.41","-","-","4","0.07","-","-","17","1.13","-","-","-","-","2","0.22","-","-","-","-"
"埼玉県","16881","65.68","54","0.33","22","0.13","507","3.11","1491","9.15","46","0.28","28","0.17","193","1.18","50","0.31","-","-","17","0.10","-","-","18","0.45","-","-","2","0.18","3","0.27","-","-","-","-"
"千葉県","12060","56.89","28","0.21","30","0.23","399","3.02","971","7.36","32","0.24","12","0.09","128","0.97","32","0.24","2","0.02","7","0.05","-","-","16","0.47","1","0.11","-","-","3","0.33","-","-","1","0.11"
"東京都","18862","45.67","48","0.18","39","0.15","590","2.26","1981","7.59","86","0.33","24","0.09","311","1.19","80","0.31","2","0.01","19","0.07","-","-","16","0.42","-","-","2","0.08","3","0.12","1","0.04","3","0.12"
"神奈川県","18686","51.62","28","0.12","20","0.09","423","1.84","1435","6.24","47","0.20","21","0.09","188","0.82","68","0.30","-","-","32","0.14","1","0.02","49","0.98","-","-","-","-","-","-","-","-","1","0.09"
"新潟県","5626","62.51","27","0.47","46","0.81","253","4.44","216","3.79","22","0.39","19","0.33","111","1.95","18","0.32","-","-","6","0.11","-","-","6","0.60","2","0.15","-","-","8","0.62","1","0.08","-","-"
"富山県","1768","36.83","13","0.45","20","0.69","44","1.52","232","8.00","8","0.28","5","0.17","20","0.69","15","0.52","4","0.14","-","-","-","-","3","0.43","-","-","-","-","-","-","-","-","-","-"
"石川県","2483","51.73","14","0.48","15","0.52","228","7.86","174","6.00","2","0.07","1","0.03","56","1.93","5","0.17","-","-","1","0.03","-","-","4","0.57","-","-","-","-","3","0.60","-","-","-","-"
"福井県","1387","39.63","15","0.68","25","1.14","61","2.77","178","8.09","9","0.41","1","0.05","4","0.18","7","0.32","-","-","7","0.32","-","-","2","0.67","-","-","-","-","-","-","-","-","-","-"
"山梨県","1977","48.22","6","0.25","-","-","35","1.46","114","4.75","7","0.29","3","0.13","19","0.79","9","0.38","-","-","4","0.17","-","-","2","0.22","-","-","-","-","6","0.60","-","-","-","-"
"長野県","3965","45.57","30","0.56","6","0.11","83","1.54","302","5.59","10","0.19","5","0.09","33","0.61","14","0.26","2","0.04","3","0.06","-","-","3","0.27","2","0.18","-","-","4","0.36","-","-","-","-"
"岐阜県","2398","27.56","9","0.17","6","0.11","53","1.00","140","2.64","6","0.11","10","0.19","20","0.38","11","0.21","1","0.02","-","-","1","0.09","7","0.64","-","-","-","-","-","-","-","-","1","0.20"
"静岡県","5327","38.32","17","0.19","15","0.17","150","1.69","586","6.58","6","0.07","1","0.01","42","0.47","23","0.26","1","0.01","12","0.13","-","-","14","0.64","-","-","2","0.20","-","-","-","-","-","-"
"愛知県","7455","38.23","56","0.31","39","0.21","295","1.62","762","4.19","29","0.16","6","0.03","49","0.27","41","0.23","3","0.02","11","0.06","-","-","14","0.40","-","-","-","-","2","0.13","-","-","4","0.27"
"三重県","2279","31.65","37","0.82","15","0.33","120","2.67","266","5.91","5","0.11","3","0.07","14","0.31","12","0.27","1","0.02","3","0.07","-","-","1","0.08","-","-","-","-","3","0.33","1","0.11","1","0.11"
"滋賀県","1930","36.42","12","0.38","4","0.13","54","1.69","177","5.53","-","-","2","0.06","4","0.13","5","0.16","1","0.03","5","0.16","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"京都府","4754","37.73","14","0.18","16","0.21","111","1.44","466","6.05","13","0.17","7","0.09","39","0.51","17","0.22","-","-","5","0.06","-","-","1","0.06","-","-","-","-","1","0.14","-","-","-","-"
