"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023年01週(01月02日～01月08日)","2023年01月11日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","23139","4.73","576","0.18","362","0.12","667","0.21","10915","3.50","271","0.09","322","0.10","21","0.01","556","0.18","83","0.03","63","0.02","4","0.01","149","0.22","5","0.01","2","0.00","8","0.02","-","-","1","0.00"
"北海道","1247","5.49","44","0.32","36","0.26","53","0.39","156","1.14","23","0.17","6","0.04","-","-","11","0.08","1","0.01","-","-","-","-","1","0.03","-","-","-","-","3","0.13","-","-","-","-"
"青森県","209","3.27","3","0.07","5","0.12","2","0.05","76","1.81","2","0.05","1","0.02","1","0.02","4","0.10","-","-","2","0.05","-","-","-","-","1","0.17","-","-","2","0.33","-","-","-","-"
"岩手県","107","1.70","17","0.43","4","0.10","13","0.33","112","2.80","1","0.03","2","0.05","-","-","11","0.28","1","0.03","-","-","-","-","2","0.15","-","-","-","-","-","-","-","-","-","-"
"宮城県","171","1.80","24","0.41","6","0.10","10","0.17","128","2.21","3","0.05","2","0.03","2","0.03","11","0.19","-","-","2","0.03","-","-","3","0.25","-","-","-","-","-","-","-","-","-","-"
"秋田県","61","1.20","2","0.06","4","0.12","6","0.18","37","1.12","2","0.06","-","-","-","-","6","0.18","5","0.15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
