"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024年12週(03月18日～03月24日)","2024年03月27日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","69510","14.08","1812","0.58","2199","0.70","11523","3.67","13441","4.28","409","0.13","522","0.17","53","0.02","657","0.21","70","0.02","80","0.03","12","0.02","286","0.41","10","0.02","13","0.03","40","0.08","3","0.01","12","0.02","25727","5.21"
"北海道","5446","24.31","153","1.11","261","1.89","1200","8.70","393","2.85","19","0.14","2","0.01","1","0.01","14","0.10","-","-","5","0.04","-","-","5","0.17","-","-","-","-","1","0.04","-","-","-","-","1009","4.50"
"青森県","1057","18.22","-","-","23","0.62","119","3.22","67","1.81","2","0.05","-","-","-","-","10","0.27","-","-","-","-","-","-","3","0.30","-","-","-","-","2","0.33","-","-","-","-","528","9.10"
"岩手県","1090","17.87","3","0.08","93","2.38","109","2.79","241","6.18","2","0.05","1","0.03","1","0.03","14","0.36","-","-","2","0.05","-","-","4","0.29","-","-","-","-","1","0.05","-","-","1","0.05","580","9.51"
"宮城県","1467","16.12","29","0.53","53","0.96","170","3.09","259","4.71","8","0.15","1","0.02","-","-","16","0.29","3","0.05","3","0.05","-","-","1","0.08","-","-","-","-","-","-","-","-","-","-","876","9.63"
"秋田県","659","12.92","1","0.03","14","0.42","85","2.58","65","1.97","12","0.36","-","-","-","-","3","0.09","1","0.03","-","-","1","0.14","2","0.29","-","-","-","-","-","-","-","-","-","-","516","10.12"
"山形県","1188","27.63","8","0.29","41","1.46","175","6.25","82","2.93","3","0.11","1","0.04","-","-","9","0.32","1","0.04","-","-","-","-","2","0.25","-","-","-","-","-","-","-","-","1","0.10","284","6.60"
"福島県","1846","22.51","49","1.00","47","0.96","217","4.43","167","3.41","10","0.20","-","-","-","-","13","0.27","1","0.02","-","-","-","-","4","0.31","-","-","-","-","-","-","-","-","-","-","509","6.21"
"茨城県","1777","14.81","25","0.33","27","0.36","365","4.87","289","3.85","7","0.09","1","0.01","3","0.04","9","0.12","1","0.01","-","-","-","-","9","0.56","-","-","-","-","-","-","-","-","-","-","821","6.84"
