"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021年08週(02月22日～02月28日)","2021年03月03日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","46","0.01","1289","0.41","507","0.16","2130","0.67","8024","2.54","314","0.10","81","0.03","42","0.01","1063","0.34","71","0.02","76","0.02","2","0.00","113","0.16","8","0.02","8","0.02","13","0.03","-","-","3","0.01"
"北海道","2","0.01","-","-","22","0.16","198","1.41","230","1.64","19","0.14","1","0.01","2","0.01","25","0.18","-","-","1","0.01","-","-","8","0.28","-","-","-","-","2","0.09","-","-","1","0.04"
"青森県","1","0.02","2","0.05","1","0.02","23","0.55","191","4.55","7","0.17","1","0.02","-","-","11","0.26","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"岩手県","-","-","68","1.70","4","0.10","70","1.75","97","2.43","6","0.15","-","-","1","0.03","17","0.43","-","-","2","0.05","-","-","5","0.36","-","-","-","-","-","-","-","-","-","-"
"宮城県","-","-","7","0.12","10","0.17","18","0.31","125","2.16","9","0.16","1","0.02","2","0.03","18","0.31","-","-","2","0.03","-","-","1","0.08","1","0.08","-","-","2","0.17","-","-","-","-"
"秋田県","-","-","-","-","2","0.06","18","0.51","46","1.31","3","0.09","-","-","1","0.03","5","0.14","-","-","-","-","-","-","1","0.14","-","-","-","-","-","-","-","-","-","-"
"山形県","-","-","-","-","2","0.07","41","1.41","90","3.10","-","-","-","-","-","-","20","0.69","-","-","-","-","-","-","5","0.63","1","0.10","-","-","-","-","-","-","-","-"
"福島県","-","-","18","0.36","13","0.26","35","0.70","66","1.32","5","0.10","-","-","1","0.02","27","0.54","-","-","2","0.04","-","-","3","0.23","-","-","-","-","-","-","-","-","-","-"
"茨城県","1","0.01","1","0.01","10","0.13","44","0.59","115","1.53","4","0.05","2","0.03","1","0.01","14","0.19","1","0.01","-","-","-","-","2","0.12","-","-","-","-","1","0.08","-","-","-","-"
