"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014年44週(10月27日～11月02日)","2014年11月05日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","百日咳","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","758","0.16","3423","","1162","0.37","5973","1.91","13229","4.23","2638","0.84","2332","0.75","714","0.23","1779","0.57","40","0.01","534","0.17","881","0.28","4","0.01","336","0.50","4","0.01","13","0.03","154","0.33","9","0.02","9","0.02"
"北海道","12","0.05","102","","186","1.30","507","3.55","290","2.03","185","1.29","96","0.67","14","0.10","48","0.34","1","0.01","80","0.56","38","0.27","1","0.04","8","0.29","1","0.04","-","-","11","0.48","-","-","-","-"
"青森県","4","0.06","21","","28","0.67","24","0.57","123","2.93","53","1.26","10","0.24","15","0.36","11","0.26","2","0.05","1","0.02","3","0.07","-","-","6","0.55","-","-","-","-","3","0.50","-","-","1","0.17"
"岩手県","22","0.34","92","","3","0.08","140","3.50","146","3.65","33","0.83","18","0.45","7","0.18","24","0.60","-","-","3","0.08","9","0.23","-","-","6","0.43","-","-","-","-","13","0.68","-","-","-","-"
"宮城県","-","-","25","","21","0.36","124","2.14","144","2.48","74","1.28","18","0.31","67","1.16","45","0.78","-","-","13","0.22","19","0.33","-","-","-","-","-","-","1","0.08","10","0.83","-","-","-","-"
"秋田県","-","-","37","","6","0.18","23","0.68","94","2.76","25","0.74","3","0.09","2","0.06","6","0.18","-","-","2","0.06","8","0.24","-","-","1","0.14","-","-","-","-","8","1.00","-","-","-","-"
"山形県","15","0.31","96","","24","0.80","67","2.23","167","5.57","35","1.17","58","1.93","6","0.20","16","0.53","-","-","1","0.03","41","1.37","-","-","-","-","-","-","-","-","-","-","2","0.20","-","-"
"福島県","-","-","51","","33","0.73","59","1.31","104","2.31","64","1.42","36","0.80","17","0.38","25","0.56","1","0.02","14","0.31","39","0.87","1","0.08","7","0.58","-","-","1","0.14","3","0.43","-","-","-","-"
"茨城県","2","0.02","30","","10","0.13","97","1.28","302","3.97","40","0.53","105","1.38","9","0.12","26","0.34","1","0.01","9","0.12","8","0.11","-","-","13","0.76","-","-","-","-","-","-","-","-","-","-"
"栃木県","3","0.04","24","","6","0.13","42","0.88","76","1.58","36","0.75","39","0.81","8","0.17","28","0.58","-","-","5","0.10","14","0.29","-","-","-","-","-","-","1","0.14","-","-","-","-","-","-"
"群馬県","1","0.01","39","","53","0.88","138","2.30","190","3.17","32","0.53","33","0.55","12","0.20","28","0.47","-","-","6","0.10","10","0.17","-","-","22","1.69","-","-","-","-","4","0.50","-","-","-","-"
"埼玉県","67","0.27","127","","43","0.28","361","2.33","744","4.80","128","0.83","157","1.01","54","0.35","90","0.58","1","0.01","27","0.17","53","0.34","-","-","16","0.40","-","-","1","0.10","8","0.80","-","-","-","-"
"千葉県","59","0.29","92","","21","0.16","280","2.17","488","3.78","92","0.71","139","1.08","50","0.39","66","0.51","2","0.02","15","0.12","47","0.36","-","-","13","0.43","-","-","-","-","1","0.11","-","-","-","-"
