"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013年26週(06月24日～06月30日)","2013年07月03日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","百日咳","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","654","0.13","436","","2042","0.65","5611","1.78","13581","4.31","3203","1.02","10637","3.38","250","0.08","2100","0.67","37","0.01","3945","1.25","910","0.29","19","0.03","400","0.59","11","0.02","22","0.05","243","0.52","16","0.03"
"北海道","17","0.08","57","","154","1.08","356","2.51","474","3.34","180","1.27","10","0.07","-","-","55","0.39","1","0.01","15","0.11","15","0.11","-","-","7","0.24","1","0.04","-","-","7","0.30","-","-"
"青森県","19","0.30","2","","7","0.17","56","1.37","89","2.17","42","1.02","27","0.66","-","-","26","0.63","-","-","13","0.32","17","0.41","1","0.09","3","0.27","-","-","-","-","14","2.33","-","-"
"岩手県","4","0.06","2","","28","0.70","67","1.68","123","3.08","73","1.83","3","0.08","3","0.08","17","0.43","1","0.03","10","0.25","22","0.55","-","-","4","0.29","-","-","-","-","28","1.47","-","-"
"宮城県","1","0.01","10","","29","0.50","113","1.95","219","3.78","55","0.95","35","0.60","15","0.26","47","0.81","-","-","51","0.88","25","0.43","-","-","4","0.33","-","-","-","-","25","2.08","1","0.08"
"秋田県","1","0.02","8","","8","0.24","22","0.65","97","2.85","30","0.88","5","0.15","5","0.15","15","0.44","2","0.06","3","0.09","20","0.59","-","-","-","-","-","-","-","-","-","-","-","-"
"山形県","3","0.06","2","","13","0.43","71","2.37","169","5.63","33","1.10","22","0.73","5","0.17","21","0.70","-","-","39","1.30","18","0.60","-","-","1","0.13","-","-","1","0.10","2","0.20","1","0.10"
"福島県","4","0.05","13","","17","0.38","99","2.20","111","2.47","73","1.62","20","0.44","-","-","25","0.56","-","-","9","0.20","30","0.67","-","-","6","0.50","-","-","1","0.14","6","0.86","1","0.14"
"茨城県","5","0.04","7","","33","0.44","159","2.12","519","6.92","61","0.81","172","2.29","3","0.04","33","0.44","1","0.01","65","0.87","8","0.11","-","-","15","0.88","-","-","-","-","4","0.31","-","-"
"栃木県","2","0.03","3","","10","0.21","93","1.94","77","1.60","30","0.63","99","2.06","1","0.02","42","0.88","-","-","27","0.56","9","0.19","-","-","3","0.25","1","0.14","-","-","1","0.14","5","0.71"
"群馬県","1","0.01","-","","20","0.33","95","1.58","289","4.82","36","0.60","38","0.63","1","0.02","26","0.43","-","-","58","0.97","7","0.12","-","-","11","0.79","-","-","-","-","7","0.88","-","-"
"埼玉県","7","0.03","17","","142","0.90","391","2.49","810","5.16","213","1.36","790","5.03","12","0.08","116","0.74","2","0.01","130","0.83","69","0.44","-","-","20","0.48","-","-","2","0.20","12","1.20","1","0.10"
"千葉県","17","0.08","8","","98","0.73","335","2.50","534","3.99","198","1.48","404","3.01","35","0.26","91","0.68","2","0.01","158","1.18","40","0.30","-","-","21","0.62","-","-","1","0.11","1","0.11","-","-"
"東京都","43","0.10","31","","263","1.01","556","2.13","1111","4.26","312","1.20","1044","4.00","39","0.15","201","0.77","9","0.03","317","1.21","65","0.25","1","0.03","17","0.44","1","0.04","-","-","14","0.58","-","-"
"神奈川県","7","0.02","10","","96","0.47","358","1.74","872","4.23","233","1.13","585","2.84","25","0.12","169","0.82","-","-","280","1.36","66","0.32","4","0.10","50","1.19","-","-","1","0.11","3","0.33","-","-"
"新潟県","1","0.01","9","","48","0.79","161","2.64","182","2.98","72","1.18","166","2.72","41","0.67","37","0.61","1","0.02","27","0.44","11","0.18","-","-","8","0.80","-","-","-","-","2","0.15","2","0.15"
"富山県","4","0.08","3","","16","0.55","62","2.14","136","4.69","22","0.76","117","4.03","24","0.83","16","0.55","-","-","66","2.28","7","0.24","-","-","-","-","-","-","-","-","7","1.40","-","-"
