"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022年36週(09月05日～09月11日)","2022年09月14日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","133","0.03","4978","1.60","186","0.06","894","0.29","6704","2.15","156","0.05","11774","3.77","58","0.02","847","0.27","2749","0.88","111","0.04","6","0.01","130","0.19","7","0.01","5","0.01","5","0.01","1","0.00","1","0.00"
"北海道","6","0.03","137","0.98","8","0.06","70","0.50","94","0.67","11","0.08","780","5.57","2","0.01","16","0.11","232","1.66","1","0.01","-","-","1","0.03","1","0.04","-","-","-","-","-","-","1","0.04"
"青森県","-","-","26","0.62","2","0.05","2","0.05","55","1.31","1","0.02","163","3.88","-","-","17","0.40","30","0.71","-","-","-","-","-","-","-","-","-","-","1","0.17","-","-","-","-"
"岩手県","-","-","11","0.28","4","0.10","36","0.90","88","2.20","4","0.10","246","6.15","-","-","9","0.23","36","0.90","5","0.13","-","-","3","0.21","-","-","-","-","1","0.05","-","-","-","-"
"宮城県","-","-","134","2.31","4","0.07","7","0.12","110","1.90","2","0.03","716","12.34","-","-","21","0.36","119","2.05","2","0.03","-","-","3","0.25","2","0.17","-","-","-","-","-","-","-","-"
"秋田県","-","-","28","0.88","-","-","14","0.44","18","0.56","-","-","160","5.00","-","-","1","0.03","6","0.19","-","-","-","-","1","0.14","-","-","-","-","-","-","-","-","-","-"
"山形県","-","-","49","1.75","2","0.07","2","0.07","37","1.32","1","0.04","500","17.86","-","-","8","0.29","229","8.18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
