date,year_week
2030-2-10,2030-06
2030-2-17,2030-07
2030-2-24,2030-08
2030-3-3,2030-09
2030-3-10,2030-10
2030-3-17,2030-11
2030-3-24,2030-12
2030-3-31,2030-13
2030-4-7,2030-14
2030-4-14,2030-15
2030-4-21,2030-16
2030-4-28,2030-17
2030-5-5,2030-18
2030-5-12,2030-19
2030-5-19,2030-20
2030-5-26,2030-21
2030-6-2,2030-22
2030-6-9,2030-23
2030-6-16,2030-24
2030-6-23,2030-25
2030-6-30,2030-26
2030-7-7,2030-27
2030-7-14,2030-28
2030-7-21,2030-29
2030-7-28,2030-30
2030-8-4,2030-31
2030-8-11,2030-32
2030-8-18,2030-33
2030-8-25,2030-34
2030-9-1,2030-35
2030-9-8,2030-36
2030-9-15,2030-37
2030-9-22,2030-38
2030-9-29,2030-39
2030-10-6,2030-40
2030-10-13,2030-41
2030-10-20,2030-42
2030-10-27,2030-43
2030-11-3,2030-44
2030-11-10,2030-45
2030-11-17,2030-46
2030-11-24,2030-47
2030-12-1,2030-48
2030-12-8,2030-49
2030-12-15,2030-50
2030-12-22,2030-51
2030-12-29,2030-52
